How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you currently have a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Why or why not?.1,What is your age?,What is your gender?
100-500,1.0,No,I don't know,Some did,"Yes, always",Possibly,Possibly,No,5,Yes,Fear of discrimination,I'd be worried they wouldn't hire me ,27.0,Female
100-500,1.0,No,I don't know,None did,I don't know,Possibly,Possibly,No,4,Yes,it may require specific measures to accomodate my needs,mental health issues are stigmatised and misunderstood by many,31.0,male
6-25,1.0,I don't know,Yes,None did,I don't know,Yes,Yes,Yes,5,Maybe,I will sometimes bring up my psoriasis just as an explanation why when I have a flare up I wear a hat most of the time,stigma,36.0,male
More than 1000,1.0,I don't know,Yes,None did,I don't know,Yes,No,I don't know,10,No,Anything that may hurt my chances to be hired is not going to be provided,Might hurt my chances,22.0,Male
More than 1000,1.0,No,I don't know,None did,"Yes, always",No,Yes,Yes,10,Maybe,"It depends. it's not something you start with at an interview, get the job first, then share. I have before.",Don't think it's connected to the job. You do that like salary when you get the offer.,52.0,female
100-500,1.0,No,Yes,None did,"Yes, always",No,No,Yes,5,Maybe,It would depend on what it is..,It wouldn't feel safe,30.0,male
6-25,1.0,No,Yes,None did,"Yes, always",Yes,No,Yes,8,No,It seems like it would be a distraction.,I would be worried that it would affect my interview.,36.0,F
26-100,1.0,No,I don't know,None did,I don't know,No,No,Yes,3,No,"I want to maintain my privacy. Unless I end up with a physical health issue that would affect my work, I don't think it's their business",Same as above - none of their business,38.0,Female
100-500,0.0,No,Yes,None did,"Yes, always",Don't Know,No,I don't know,6,No,Fear of not getting the job,Fear of not getting the job,35.0,Male
More than 1000,1.0,No,I don't know,Some did,Sometimes,Possibly,No,No,4,Maybe,ok,ok,36.0,male
100-500,0.0,No,I don't know,None did,I don't know,Yes,Possibly,Yes,2,No,Fearful of not getting job.  ,Fearful of not getting job. ,40.0,M
100-500,1.0,No,I don't know,Some did,Sometimes,Yes,Yes,Yes,10,No,You will not get the job if you have anything wrong with you mental or physical. ,You will not get the job if you have anything wrong with you mental or physical. ,35.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,5,No,Fear of discrimination,Stigma,23.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,3,Maybe,"If it was relevant to the job, I would bring it up.",There is a stigma.,22.0,Female
26-100,1.0,I don't know,Yes,None did,"Yes, always",Yes,Yes,Yes,8,Yes,I am not ashamed of it,Bc people are quick to judge and make assumptions without knowing all the facts. It is not a black and white matter; there are grey areas and not everyone realizes that. I'd rather not take the risk that I will be judged negatively for my illness. ,34.0,female
100-500,0.0,No,I don't know,None did,I don't know,Yes,No,No,9,Maybe,If needed and I felt like it was relevant I would but I would keep discussion of illness out of the interview for fear of not getting a job,It is treated and handled and I wouldn't want it to keep me from getting a job.,28.0,Male
26-100,0.0,No,Yes,None did,No,Possibly,No,No,10,Yes,its need to live,its part of life,38.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,6,No,I would fear it may bias the interview outcome.,Fear it may bias the interview outcome.,53.0,Male
6-25,1.0,No,I don't know,Some did,"Yes, always",Possibly,Possibly,No,8,Yes,If it's relevant to the work - of course.i would be honest. ,"I would a bit ashamed, but if I think it would affect the work (positively or negatively), and I had the feeling he wouldn't use it against me.",21.0,Male
More than 1000,0.0,No,I don't know,None did,I don't know,Don't Know,No,Yes,7,Yes,"I would bring up the issue of physical health because a) it's visible anyway, b) I want them to know my circumstances and that they are willing to employ me irrespective of them","It highly depends on the prospective employer. In the past I have mentioned in a job interview that working full-time at my employer's premises might be overwhelming. However the discussion was initiated due to my physical illness, thus presumably my statement was interpreted as physical illness constraints?",35.0,F
6-25,1.0,No,I don't know,None did,I don't know,Possibly,Possibly,Yes,3,No,Fear of discrimination,Stigma,22.0,Male
100-500,0.0,Yes,Yes,None did,I don't know,Possibly,Possibly,Yes,6,Yes,Fear of discrimination,Stigma,18.0,Male
26-100,0.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,10,No,I would not want to be seen as unable to do the work I was interviewing for and be discriminated against.,I would not want to be seen as unable to do the work I was interviewing for and be discriminated against.,37.0,female
1-5,1.0,No,I don't know,None did,I don't know,Yes,Don't Know,I don't know,5,No,I don't feel it's important to burden others with a problem that may not effect work efficiency ,I fear they would mark me down. On the other hand I feel they have the right to know of any issues in case I prove to be problematic ,25.0,Male
100-500,1.0,Yes,I don't know,None did,I don't know,Don't Know,Don't Know,I don't know,5,Yes,Honesty. ,Honesty,40.0,male
6-25,1.0,No,Yes,None did,I don't know,Don't Know,Don't Know,Yes,5,Yes,Fear of discrimination,Stigma,33.0,Male
More than 1000,0.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,8,No,It would be an excuse to not hire me.,They would not hire me.,66.0,F
100-500,0.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,4,Maybe,It would depend almost entirely on how likely I thought it was to affect my work in a noticeable way.,"I feel kind of embarrassed about it, and I don't trust people to respond appropriately, not ask probing questions, or be openly discriminatory until I know them much better than I'm likely to know anyone at a job interview.",31.0,female
100-500,0.0,Yes,Yes,Some did,"Yes, always",Yes,No,Yes,9,Maybe,"I would not bring it up during initial interviews, not until an offer was presented. Only if I expected it to affect my work or to require accommodations.","I would not bring it up during initial interviews, not until an offer was presented. Only if I expected it to affect my work or to require accommodations.",32.0,Male
More than 1000,1.0,No,I don't know,None did,Sometimes,Yes,Yes,I don't know,7,Maybe,"Very difficult question to answer bc it so much depends on what the physical health issue is and what I feel, perceive or know about how the person / company interviewing deals with the same or similarly situation health issues","As interviews are generally with people you do not know and given the strong, currently existing, inherent and systemic bias, against those with mental illness, I’d b4 unwilling to take the risk",46.0,M
100-500,1.0,I don't know,I don't know,None did,I don't know,Yes,Yes,Yes,7,No,Fear of discrimination,Stigma,30.0,female
100-500,1.0,No,Yes,None did,"Yes, always",Yes,Yes,I don't know,10,Yes,Little to no stigma attached to physical health issues.,"I am an addict, many employers discriminate against people like me.",31.0,Man
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,6,Maybe,If they seemed potentially sympathetic or the company had a good reputation for this.,Stigma and prejudice.  I would feel like I would not get the job because of this.,46.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,5,Yes,Fear of discrimination,Stigma,29.0,Male
More than 1000,0.0,No,I don't know,I don't know,I don't know,Yes,Yes,Yes,10,Maybe,Fear of discrimination,Stigma,28.0,f
6-25,0.0,No,I don't know,None did,Sometimes,Yes,Possibly,I don't know,5,Maybe,I want to work hard in the company and have will to be treated normally.,Mental health issue is almost all about myself.,34.0,Female
26-100,1.0,No,No,Some did,I don't know,Yes,Yes,I don't know,8,Yes,It may require special arrangements to be made or could possibly affect my ability to do my job if not handled properly.,While it's an important thing to discuss I would have to make a judgement call in the interview because of the social stigma with mental illness. ,25.0,Male
100-500,0.0,Yes,Yes,None did,I don't know,Yes,Possibly,I don't know,7,Maybe,"Unless it impacts my work, I wouldn't bring it up.",I wouldn't feel comfortable talking to a total stranger that is in charge of hiring me based on a 30-45 minute interview.,35.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,Yes,3,Yes,Fear of discrimination,Stigma,25.0,Male
100-500,1.0,No,I don't know,None did,I don't know,Possibly,Possibly,No,8,Yes,to determine if I'm adequate candidate and if so if their health insurance would cover some costs associated w/ treatment,"mental disorder feels like a more sensitive topic, would work there for some time to establish myself before revealing",40.0,male
100-500,0.0,No,I don't know,None did,I don't know,Yes,Don't Know,I don't know,6,Maybe,Depends on what it was.,.,32.0,M
100-500,0.0,No,I don't know,None did,I don't know,No,Yes,Yes,1,Yes,Minimal stigma attached.,Negative judgement.,39.0,Male
500-1000,1.0,I don't know,I don't know,Some did,"Yes, always",Yes,Yes,Yes,4,No,"They don't need to know if I am able to treat the symptoms, and have no negative effect on my work. ",They don't need to know in an interview,33.0,male
100-500,1.0,Yes,Yes,"Yes, they all did","Yes, always",Possibly,Possibly,I don't know,8,Maybe,Depends if it is related to access to the building or office space.,I would be afraid it would be a determining factor in hiring.,40.0,Male
500-1000,1.0,No,Yes,Some did,Sometimes,Yes,Yes,I don't know,7,Maybe,I think it depends on if I believe the physical health issue would have a material impact on my ability to do the job,it depends on if I think the issue would have a material impact on my ability to do the job.,42.0,male
More than 1000,0.0,I don't know,I don't know,None did,I don't know,Yes,Yes,Yes,6,Yes,Physical Limitations,Because I believe they are more likely to discount my value because of it.,32.0,Male
More than 1000,0.0,No,No,None did,No,Yes,Yes,I don't know,9,Maybe,It might affect my chances of getting the job,"I would definitely not get the job, and it would be too ""personal""",27.0,Female
More than 1000,1.0,No,I don't know,None did,No,Yes,Yes,Yes,10,No,I would be afraid of the lack of support and bias.,"Way too much bias in the country I'm living in. People never ever talk about mental health, medicine, therapy here, it's not like in the US.",43.0,Female
6-25,0.0,No,No,None did,I don't know,Possibly,Possibly,I don't know,2,Maybe,prevent if something happen in the future regarding my physical issue,"it's my problem, they won't be care, just labelled me crazy and can't work",30.0,female
26-100,0.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,10,Maybe,People can understand physical disorders.  They are more tangible.,"I'd be afraid they would label me as ""crazy"".  It's harder to understand something unless they can see it or experience it.",39.0,male
6-25,1.0,No,I don't know,None did,Sometimes,Yes,Yes,Yes,10,Maybe,I think in the case of chronic illness it can deter employers from hiring you,I feel like I would for sure not be employed,42.0,Female
6-25,1.0,Yes,Yes,None did,I don't know,Yes,Yes,Yes,10,Yes,It's more accepted,Still a lot of judgment,37.0,Genderfluid
500-1000,0.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,6,Maybe,"Only if that issue was acute (ie upcoming surgery that would need to be accommodated). Never discuss chronic condition that would be badly understood, like reproductive issues or migraines.",Zero guarantee of empathy or understanding. Career suicide.,38.0,Female
